Name,Result
K02259.01,CONFIRMED
K02343.01,FALSE POSITIVE
K02106.01,CONFIRMED
K02263.01,CONFIRMED
K02272.01,FALSE POSITIVE
K02351.01,CONFIRMED
K02117.01,CONFIRMED
K02186.01,CONFIRMED
K02189.01,CONFIRMED
K02191.01,CONFIRMED
K02358.01,CONFIRMED
K02361.01,CONFIRMED
K02120.01,CONFIRMED
K02123.01,CONFIRMED
K02370.01,CONFIRMED
K02124.01,CONFIRMED
K02125.01,CONFIRMED
K02204.01,CONFIRMED
K02206.01,CONFIRMED
K02353.01,CONFIRMED
K02354.01,FALSE POSITIVE
K02357.01,CONFIRMED
K02130.01,CONFIRMED
K02132.01,CONFIRMED
K02288.01,FALSE POSITIVE
K02290.01,CONFIRMED
K02291.01,CONFIRMED
K02363.01,CONFIRMED
K02364.01,CONFIRMED
K02367.01,CONFIRMED
K02216.01,CONFIRMED
K02217.01,CONFIRMED
K02293.01,CONFIRMED
K02294.01,CONFIRMED
K02295.01,CONFIRMED
K02373.01,CONFIRMED
K02219.01,CONFIRMED
K02297.01,CONFIRMED
K02298.01,CONFIRMED
K02299.01,FALSE POSITIVE
K02305.01,CONFIRMED
K00221.02,CONFIRMED
K02076.01,CONFIRMED
K02150.01,FALSE POSITIVE
K02226.01,CONFIRMED
K02310.01,CONFIRMED
K02081.01,CONFIRMED
K02082.01,CONFIRMED
K02154.01,CONFIRMED
K00227.01,CONFIRMED
K02229.01,CONFIRMED
K02232.01,CONFIRMED
K02315.01,CONFIRMED
K02084.01,CONFIRMED
K02158.01,CONFIRMED
K02159.01,CONFIRMED
K02237.01,CONFIRMED
K02319.01,CONFIRMED
K02321.01,CONFIRMED
K02091.01,CONFIRMED
K02241.01,CONFIRMED
K02325.01,CONFIRMED
K02329.01,CONFIRMED
K02093.01,FALSE POSITIVE
K02094.01,CONFIRMED
K02169.02,CONFIRMED
K02248.01,CONFIRMED
K02248.03,CONFIRMED
K02332.01,CONFIRMED
K02096.01,CONFIRMED
K02169.03,CONFIRMED
K02169.04,CONFIRMED
K02172.01,CONFIRMED
K02554.01,CONFIRMED
K02554.02,CONFIRMED
K00253.02,CONFIRMED
K02411.01,CONFIRMED
K02559.01,CONFIRMED
K02560.01,CONFIRMED
K02637.01,CONFIRMED
K02638.01,CONFIRMED
K02639.01,CONFIRMED
K02641.01,CONFIRMED
K02415.01,CONFIRMED
K02416.01,CONFIRMED
K00247.01,CONFIRMED
K02489.01,CONFIRMED
K02490.01,CONFIRMED
K02569.01,CONFIRMED
K02571.01,CONFIRMED
K02572.01,CONFIRMED
K02421.01,CONFIRMED
K02577.01,CONFIRMED
K02578.01,CONFIRMED
K02503.01,CONFIRMED
K02504.01,CONFIRMED
K02507.01,CONFIRMED
K02579.01,CONFIRMED
K02581.01,CONFIRMED
K02582.01,CONFIRMED
K02508.01,CONFIRMED
K02583.01,CONFIRMED
K02588.01,CONFIRMED
K02656.01,CONFIRMED
K02657.01,CONFIRMED
K02658.01,CONFIRMED
K02512.01,CONFIRMED
K02513.01,CONFIRMED
K02516.01,CONFIRMED
K02592.01,CONFIRMED
K00004.01,CONFIRMED
K02666.01,FALSE POSITIVE
K02519.01,FALSE POSITIVE
K02674.01,CONFIRMED
K02445.01,CONFIRMED
K02521.02,CONFIRMED
K02522.01,CONFIRMED
K02525.01,CONFIRMED
K02597.03,CONFIRMED
K02598.01,CONFIRMED
K02377.01,CONFIRMED
K02449.01,CONFIRMED
K02527.01,CONFIRMED
K02528.01,CONFIRMED
K02604.01,FALSE POSITIVE
K02380.01,CONFIRMED
K02531.01,CONFIRMED
K02532.01,CONFIRMED
K02607.01,CONFIRMED
K02384.01,CONFIRMED
K02386.01,CONFIRMED
K02462.01,CONFIRMED
K02534.02,CONFIRMED
K02538.01,CONFIRMED
K00252.01,CONFIRMED
K02613.01,CONFIRMED
K02542.01,CONFIRMED
K02543.01,CONFIRMED
K02620.01,CONFIRMED
K02393.01,CONFIRMED
K02467.01,CONFIRMED
K02469.01,CONFIRMED
K02471.01,CONFIRMED
K02547.01,CONFIRMED
K02548.01,FALSE POSITIVE
K00253.01,CONFIRMED
K02400.01,CONFIRMED
K02401.01,CONFIRMED
K02550.01,CONFIRMED
K02551.01,CONFIRMED
K02553.01,CONFIRMED
K02631.01,CONFIRMED
K02404.01,CONFIRMED
K02477.01,CONFIRMED
K02479.01,CONFIRMED
K02840.01,CONFIRMED
K02840.02,CONFIRMED
K02841.01,CONFIRMED
K02919.01,FALSE POSITIVE
K02764.01,CONFIRMED
K02848.01,CONFIRMED
K02849.01,CONFIRMED
K02921.01,CONFIRMED
K02923.01,CONFIRMED
K02770.01,CONFIRMED
K02851.01,CONFIRMED
K02851.02,CONFIRMED
K02853.01,CONFIRMED
K02927.01,CONFIRMED
K02775.01,CONFIRMED
K02855.01,CONFIRMED
K00272.01,CONFIRMED
K02933.01,FALSE POSITIVE
K02935.01,CONFIRMED
K02712.01,CONFIRMED
K02779.01,CONFIRMED
K02859.03,CONFIRMED
K02862.01,CONFIRMED
K02948.01,CONFIRMED
K02949.01,CONFIRMED
K02715.03,CONFIRMED
K02716.02,CONFIRMED
K02962.01,CONFIRMED
K02963.02,CONFIRMED
K02720.01,FALSE POSITIVE
K02797.01,CONFIRMED
K02942.01,CONFIRMED
K02942.02,CONFIRMED
K02801.01,CONFIRMED
K02871.01,CONFIRMED
K02871.02,CONFIRMED
K02876.01,FALSE POSITIVE
K02958.01,CONFIRMED
K02959.01,CONFIRMED
K02723.01,CONFIRMED
K02802.01,CONFIRMED
